timestamp,score_goal,intake_goal,elevator_god_mode_goal,wrist_god_mode_goal,elevator_brake,manual_left_winch,manual_right_winch,queue_index
1421050,7,9,0,0,0,0,0,0

1421550,10,9,0,0,0,0,0,1

